ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","4308","Notavailable","50.4","53.6","0.80",
"C50","Breast","598","Notavailable","14.1","14.7","0.22",
"C33-34","Lung","384","Notavailable","4.5","4.9","0.07",
"C70-72","Brain,centralnervoussystem","381","Notavailable","4.5","4.6","0.07",
"C18-21","Colorectum","338","Notavailable","4.0","4.3","0.06",
"C56","Ovary","279","Notavailable","6.6","6.9","0.10",
"C16","Stomach","273","Notavailable","3.2","3.4","0.05",
"C53","Cervixuteri","211","Notavailable","5.0","5.2","0.08",
"C25","Pancreas","200","Notavailable","2.3","2.5","0.04",
"C00-06","Lip,oralcavity","157","Notavailable","1.8","2.0","0.03",
"C43","Melanomaofskin","156","Notavailable","1.8","1.9","0.03",
"C82-86, C96","Non-Hodgkinlymphoma","130","Notavailable","1.5","1.6","0.02",
"C91-95","Leukaemia","129","Notavailable","1.5","1.6","0.02",
"C64-65","Kidney","104","Notavailable","1.2","1.3","0.02",
"C15","Oesophagus","100","Notavailable","1.2","1.3","0.02",
"C22","Liver","87","Notavailable","1.0","1.1","0.02",
"C32","Larynx","85","Notavailable","1.00","1.1","0.02",
"C09-10","Oropharynx","68","Notavailable","0.80","0.88","0.01",
"C62","Testis","56","Notavailable","1.3","1.3","0.02",
"C67","Bladder","50","Notavailable","0.59","0.63","0.01",
"C23-24","Gallbladder","49","Notavailable","0.57","0.61","0.01",
"C12-13","Hypopharynx","48","Notavailable","0.56","0.63","0.01",
"C88+C90","Multiplemyeloma","41","Notavailable","0.48","0.51","0.01",
"C81","Hodgkinlymphoma","27","Notavailable","0.32","0.31","0.00",
"C54","Corpusuteri","23","Notavailable","0.54","0.57","0.01",
"C61","Prostate","19","Notavailable","0.44","0.50","0.01",
"C45","Mesothelioma","17","Notavailable","0.20","0.22","0.00",
"C73","Thyroid","16","Notavailable","0.19","0.20","0.00",
"C11","Nasopharynx","16","Notavailable","0.19","0.19","0.00",
"C07-08","Salivaryglands","14","Notavailable","0.16","0.18","0.00",
"C60","Penis","12","Notavailable","0.28","0.30","0.00",
"C51","Vulva","9","Notavailable","0.21","0.23","0.00",
"C52","Vagina","2","Notavailable","0.05","0.05","0.00",
"C46","Kaposisarcoma","2","Notavailable","0.02","0.02","0.00",
