ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","113388","[112564.0-114218.0]","297.6","136.5","-",
"C33-34","Lung","26509","[25861.6-27172.6]","69.6","33.2","-",
"C18-21","Colorectum","14362","Notavailable","37.7","16.1","-",
"C50","Breast","6921","[6732.9-7114.3]","35.1","15.8","-",
"C16","Stomach","5779","[5528.6-6040.8]","15.2","6.9","-",
"C61","Prostate","5763","[5427.0-6119.8]","31.3","14.5","-",
"C25","Pancreas","5715","[5477.7-5962.5]","15.0","6.9","-",
"C67","Bladder","4450","[4204.3-4710.0]","11.7","4.8","-",
"C70-72","Brain,centralnervoussystem","3383","[3187.4-3590.6]","8.9","5.0","-",
"C56","Ovary","3204","[3001.2-3420.5]","16.3","7.8","-",
"C64-65","Kidney","3092","[2929.5-3263.6]","8.1","3.7","-",
"C91-95","Leukaemia","3089","[2872.2-3322.2]","8.1","3.8","-",
"C22","Liver","2230","[2092.9-2376.1]","5.9","2.7","-",
"C82-86, C96","Non-Hodgkinlymphoma","2168","[1995.0-2356.0]","5.7","2.7","-",
"C54","Corpusuteri","2007","[1851.1-2176.0]","10.2","3.7","-",
"C23-24","Gallbladder","1998","[1869.4-2135.4]","5.2","2.2","-",
"C53","Cervixuteri","1947","[1801.1-2104.7]","9.9","4.9","-",
"C32","Larynx","1769","[1603.8-1951.2]","4.6","2.5","-",
"C43","Melanomaofskin","1728","[1599.1-1867.2]","4.5","2.1","-",
"C15","Oesophagus","1708","[1568.4-1860.0]","4.5","2.3","-",
"C00-06","Lip,oralcavity","1641","[1494.1-1802.3]","4.3","2.3","-",
"C88+C90","Multiplemyeloma","1563","[1421.6-1718.4]","4.1","1.8","-",
"C09-10","Oropharynx","834","[730.4-952.3]","2.2","1.3","-",
"C12-13","Hypopharynx","579","[494.1-678.4]","1.5","0.88","-",
"C45","Mesothelioma","460","[392.1-539.6]","1.2","0.60","-",
"C51","Vulva","380","[318.4-453.5]","1.9","0.64","-",
"C73","Thyroid","368","[305.6-443.2]","0.97","0.42","-",
"C07-08","Salivaryglands","272","[222.2-333.0]","0.71","0.32","-",
"C81","Hodgkinlymphoma","183","[138.8-241.3]","0.48","0.28","-",
"C62","Testis","164","[126.9-211.9]","0.89","0.70","-",
"C60","Penis","158","[115.6-215.9]","0.86","0.47","-",
"C11","Nasopharynx","146","[116.6-182.9]","0.38","0.20","-",
"C52","Vagina","67","[50.6-88.7]","0.34","0.12","-",
"C46","Kaposisarcoma","14","[8.2-23.8]","0.04","0.02","-",
