ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","270","Notavailable","7.0","6.3","0.10",
"C50","Breast","46","Notavailable","1.2","0.93","0.02",
"C70-72","Brain,centralnervoussystem","38","Notavailable","0.99","0.92","0.01",
"C82-86, C96","Non-Hodgkinlymphoma","29","Notavailable","0.76","0.73","0.01",
"C56","Ovary","22","Notavailable","0.57","0.51","0.01",
"C91-95","Leukaemia","22","Notavailable","0.57","0.58","0.01",
"C53","Cervixuteri","16","Notavailable","0.42","0.35","0.01",
"C18-21","Colorectum","16","Notavailable","0.42","0.35","0.01",
"C16","Stomach","12","Notavailable","0.31","0.26","0.00",
"C81","Hodgkinlymphoma","8","Notavailable","0.21","0.18","0.00",
"C33-34","Lung","6","Notavailable","0.16","0.12","0.00",
"C22","Liver","5","Notavailable","0.13","0.13","0.00",
"C43","Melanomaofskin","5","Notavailable","0.13","0.13","0.00",
"C25","Pancreas","3","Notavailable","0.08","0.06","0.00",
"C64-65","Kidney","3","Notavailable","0.08","0.07","0.00",
"C00-06","Lip,oralcavity","2","Notavailable","0.05","0.05","0.00",
"C54","Corpusuteri","1","Notavailable","0.03","0.02","0.00",
"C23-24","Gallbladder","1","Notavailable","0.03","0.02","0.00",
"C51","Vulva","1","Notavailable","0.03","0.02","0.00",
"C15","Oesophagus","1","Notavailable","0.03","0.02","0.00",
"C11","Nasopharynx","1","Notavailable","0.03","0.03","0.00",
