ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","50782","[50227.0-51343.1]","257.7","105.6","-",
"C33-34","Lung","9374","[8997.0-9766.8]","47.6","21.2","-",
"C50","Breast","6921","[6732.9-7114.3]","35.1","15.8","-",
"C18-21","Colorectum","6258","Notavailable","31.8","11.4","-",
"C56","Ovary","3204","[3001.2-3420.5]","16.3","7.8","-",
"C25","Pancreas","2843","[2678.4-3017.7]","14.4","5.5","-",
"C16","Stomach","2095","[1936.1-2266.9]","10.6","4.1","-",
"C54","Corpusuteri","2007","[1851.1-2176.0]","10.2","3.7","-",
"C53","Cervixuteri","1947","[1801.1-2104.7]","9.9","4.9","-",
"C70-72","Brain,centralnervoussystem","1473","[1363.5-1591.3]","7.5","3.8","-",
"C91-95","Leukaemia","1333","[1206.5-1472.8]","6.8","2.8","-",
"C23-24","Gallbladder","1282","[1178.9-1394.2]","6.5","2.4","-",
"C64-65","Kidney","1136","[1044.1-1236.0]","5.8","2.2","-",
"C82-86, C96","Non-Hodgkinlymphoma","1070","[922.9-1240.6]","5.4","2.3","-",
"C67","Bladder","997","[882.5-1126.4]","5.1","1.7","-",
"C22","Liver","925","[844.7-1013.0]","4.7","1.7","-",
"C43","Melanomaofskin","827","[749.2-912.9]","4.2","1.6","-",
"C88+C90","Multiplemyeloma","749","[654.9-856.7]","3.8","1.4","-",
"C00-06","Lip,oralcavity","436","[374.1-508.2]","2.2","0.93","-",
"C51","Vulva","380","[318.4-453.5]","1.9","0.64","-",
"C15","Oesophagus","370","[312.7-437.8]","1.9","0.77","-",
"C73","Thyroid","235","[188.4-293.2]","1.2","0.43","-",
"C32","Larynx","223","[173.2-287.1]","1.1","0.54","-",
"C09-10","Oropharynx","182","[136.8-242.1]","0.92","0.47","-",
"C45","Mesothelioma","111","[89.2-138.1]","0.56","0.25","-",
"C07-08","Salivaryglands","105","[77.2-142.8]","0.53","0.19","-",
"C81","Hodgkinlymphoma","85","[57.2-126.2]","0.43","0.22","-",
"C52","Vagina","67","[50.6-88.7]","0.34","0.12","-",
"C12-13","Hypopharynx","53","[38.9-72.3]","0.27","0.14","-",
"C11","Nasopharynx","53","[38.8-72.4]","0.27","0.12","-",
"C46","Kaposisarcoma","5","[2.1-11.7]","0.03","0.01","-",
