ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","35487","Notavailable","1488.6","1429.7","29.05",
"C33-34","Lung","10217","Notavailable","428.6","422.8","8.78",
"C18-21","Colorectum","5002","Notavailable","209.8","200.4","4.83",
"C61","Prostate","3769","Notavailable","158.1","143.5","4.11",
"C67","Bladder","2159","Notavailable","90.6","84.8","2.21",
"C16","Stomach","2082","Notavailable","87.3","84.1","1.99",
"C25","Pancreas","1551","Notavailable","65.1","63.9","1.39",
"C64-65","Kidney","1119","Notavailable","46.9","45.1","1.08",
"C91-95","Leukaemia","986","Notavailable","41.4","39.3","0.98",
"C70-72","Brain,centralnervoussystem","783","Notavailable","32.8","32.4","0.69",
"C32","Larynx","731","Notavailable","30.7","30.7","0.61",
"C22","Liver","719","Notavailable","30.2","29.3","0.67",
"C15","Oesophagus","613","Notavailable","25.7","25.6","0.52",
"C82-86, C96","Non-Hodgkinlymphoma","582","Notavailable","24.4","23.1","0.59",
"C88+C90","Multiplemyeloma","495","Notavailable","20.8","19.9","0.48",
"C00-06","Lip,oralcavity","434","Notavailable","18.2","18.1","0.36",
"C23-24","Gallbladder","431","Notavailable","18.1","17.3","0.43",
"C43","Melanomaofskin","430","Notavailable","18.0","17.2","0.42",
"C09-10","Oropharynx","220","Notavailable","9.2","9.4","0.17",
"C45","Mesothelioma","196","Notavailable","8.2","8.1","0.17",
"C12-13","Hypopharynx","182","Notavailable","7.6","7.8","0.14",
"C07-08","Salivaryglands","80","Notavailable","3.4","3.2","0.08",
"C60","Penis","77","Notavailable","3.2","3.0","0.08",
"C73","Thyroid","73","Notavailable","3.1","3.0","0.07",
"C11","Nasopharynx","49","Notavailable","2.1","2.1","0.04",
"C81","Hodgkinlymphoma","37","Notavailable","1.6","1.5","0.03",
"C62","Testis","23","Notavailable","0.96","0.92","0.02",
"C46","Kaposisarcoma","3","Notavailable","0.13","0.11","0.00",
