ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","62606","[61999.5-63218.4]","340.2","180.2","-",
"C33-34","Lung","17135","[16612.4-17674.0]","93.1","49.5","-",
"C18-21","Colorectum","8104","Notavailable","44.0","22.6","-",
"C61","Prostate","5763","[5427.0-6119.8]","31.3","14.5","-",
"C16","Stomach","3684","[3491.9-3886.7]","20.0","10.7","-",
"C67","Bladder","3453","[3238.4-3681.8]","18.8","9.3","-",
"C25","Pancreas","2872","[2703.9-3050.5]","15.6","8.5","-",
"C64-65","Kidney","1956","[1823.2-2098.5]","10.6","5.6","-",
"C70-72","Brain,centralnervoussystem","1910","[1739.6-2097.1]","10.4","6.5","-",
"C91-95","Leukaemia","1756","[1578.7-1953.2]","9.5","5.3","-",
"C32","Larynx","1546","[1390.0-1719.5]","8.4","4.8","-",
"C15","Oesophagus","1338","[1212.0-1477.0]","7.3","4.2","-",
"C22","Liver","1305","[1194.3-1426.0]","7.1","3.9","-",
"C00-06","Lip,oralcavity","1205","[1070.2-1356.7]","6.5","3.9","-",
"C82-86, C96","Non-Hodgkinlymphoma","1098","[993.0-1214.1]","6.0","3.3","-",
"C43","Melanomaofskin","901","[795.2-1020.9]","4.9","2.7","-",
"C88+C90","Multiplemyeloma","814","[712.0-930.6]","4.4","2.3","-",
"C23-24","Gallbladder","716","[641.9-798.6]","3.9","2.0","-",
"C09-10","Oropharynx","652","[561.3-757.4]","3.5","2.2","-",
"C12-13","Hypopharynx","526","[439.3-629.8]","2.9","1.7","-",
"C45","Mesothelioma","349","[276.6-440.4]","1.9","1.0","-",
"C07-08","Salivaryglands","167","[127.7-218.4]","0.91","0.49","-",
"C62","Testis","164","[126.9-211.9]","0.89","0.70","-",
"C60","Penis","158","[115.6-215.9]","0.86","0.47","-",
"C73","Thyroid","133","[94.4-187.4]","0.72","0.40","-",
"C81","Hodgkinlymphoma","98","[66.6-144.3]","0.53","0.34","-",
"C11","Nasopharynx","93","[67.3-128.5]","0.51","0.29","-",
"C46","Kaposisarcoma","9","[4.6-17.7]","0.05","0.03","-",
