ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","1172","Notavailable","15.6","16.1","0.32",
"C91-95","Leukaemia","317","Notavailable","4.2","4.5","0.09",
"C70-72","Brain,centralnervoussystem","204","Notavailable","2.7","2.8","0.05",
"C62","Testis","88","Notavailable","2.3","2.2","0.05",
"C81","Hodgkinlymphoma","73","Notavailable","0.97","0.89","0.02",
"C82-86, C96","Non-Hodgkinlymphoma","64","Notavailable","0.85","0.81","0.02",
"C64-65","Kidney","52","Notavailable","0.69","0.80","0.01",
"C73","Thyroid","44","Notavailable","0.59","0.55","0.01",
"C56","Ovary","21","Notavailable","0.58","0.54","0.01",
"C22","Liver","17","Notavailable","0.23","0.26","0.00",
"C43","Melanomaofskin","8","Notavailable","0.11","0.10","0.00",
"C67","Bladder","4","Notavailable","0.05","0.05","0.00",
"C07-08","Salivaryglands","3","Notavailable","0.04","0.04","0.00",
"C18-21","Colorectum","3","Notavailable","0.04","0.04","0.00",
"C00-06","Lip,oralcavity","2","Notavailable","0.03","0.02","0.00",
"C33-34","Lung","1","Notavailable","0.01","0.01","0.00",
"C53","Cervixuteri","1","Notavailable","0.03","0.04","0.00",
"C60","Penis","1","Notavailable","0.03","0.02","0.00",
