ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","185630","[184050.0-187223.0]","487.2","253.8","-",
"C33-34","Lung","28583","[27823.7-29363.1]","75.0","36.5","-",
"C18-21","Colorectum","24507","Notavailable","64.3","30.3","-",
"C50","Breast","20203","[19082.6-21389.1]","102.5","59.1","-",
"C61","Prostate","15393","[14679.7-16140.9]","83.7","43.7","-",
"C67","Bladder","10883","[10400.4-11388.0]","28.6","13.5","-",
"C54","Corpusuteri","7847","[7440.3-8275.9]","39.8","19.1","-",
"C16","Stomach","6659","[6322.8-7013.0]","17.5","8.3","-",
"C64-65","Kidney","6327","[6001.2-6670.5]","16.6","8.8","-",
"C25","Pancreas","5786","[5432.4-6162.6]","15.2","7.1","-",
"C56","Ovary","5077","[4757.3-5418.1]","25.8","14.7","-",
"C70-72","Brain,centralnervoussystem","4283","[4006.4-4578.7]","11.2","7.3","-",
"C91-95","Leukaemia","4184","[3918.2-4467.9]","11.0","6.7","-",
"C82-86, C96","Non-Hodgkinlymphoma","3979","[3702.9-4275.7]","10.4","5.8","-",
"C43","Melanomaofskin","3723","[3449.9-4017.7]","9.8","5.3","-",
"C73","Thyroid","3637","[3158.7-4187.8]","9.5","6.6","-",
"C00-06","Lip,oralcavity","3428","[3129.4-3755.0]","9.0","4.9","-",
"C53","Cervixuteri","3220","[2994.2-3462.8]","16.3","9.4","-",
"C32","Larynx","3197","[2953.6-3460.4]","8.4","4.8","-",
"C22","Liver","2569","[2346.3-2812.9]","6.7","3.2","-",
"C23-24","Gallbladder","2215","[2021.3-2427.2]","5.8","2.6","-",
"C88+C90","Multiplemyeloma","2051","[1855.2-2267.4]","5.4","2.5","-",
"C15","Oesophagus","1803","[1615.1-2012.7]","4.7","2.5","-",
"C09-10","Oropharynx","1744","[1519.4-2001.8]","4.6","2.7","-",
"C62","Testis","1417","[1258.4-1595.6]","7.7","7.0","-",
"C12-13","Hypopharynx","1090","[892.0-1332.0]","2.9","1.7","-",
"C51","Vulva","719","[603.0-857.3]","3.6","1.4","-",
"C81","Hodgkinlymphoma","580","[501.9-670.2]","1.5","1.4","-",
"C07-08","Salivaryglands","493","[401.5-605.4]","1.3","0.65","-",
"C45","Mesothelioma","491","[370.0-651.5]","1.3","0.65","-",
"C60","Penis","395","[302.0-516.7]","2.1","1.2","-",
"C11","Nasopharynx","286","[220.1-371.6]","0.75","0.42","-",
"C52","Vagina","100","[65.3-153.2]","0.51","0.21","-",
"C46","Kaposisarcoma","24","[16.2-35.6]","0.06","0.03","-",
