ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","527","Notavailable","14.5","14.9","0.29",
"C91-95","Leukaemia","136","Notavailable","3.7","4.0","0.08",
"C70-72","Brain,centralnervoussystem","93","Notavailable","2.6","2.6","0.05",
"C73","Thyroid","36","Notavailable","0.99","0.93","0.02",
"C64-65","Kidney","33","Notavailable","0.91","1.0","0.02",
"C81","Hodgkinlymphoma","33","Notavailable","0.91","0.82","0.02",
"C56","Ovary","21","Notavailable","0.58","0.54","0.01",
"C82-86, C96","Non-Hodgkinlymphoma","21","Notavailable","0.58","0.53","0.01",
"C22","Liver","6","Notavailable","0.16","0.18","0.00",
"C43","Melanomaofskin","4","Notavailable","0.11","0.10","0.00",
"C07-08","Salivaryglands","3","Notavailable","0.08","0.07","0.00",
"C18-21","Colorectum","3","Notavailable","0.08","0.07","0.00",
"C67","Bladder","2","Notavailable","0.05","0.05","0.00",
"C33-34","Lung","1","Notavailable","0.03","0.02","0.00",
"C53","Cervixuteri","1","Notavailable","0.03","0.04","0.00",
"C00-06","Lip,oralcavity","1","Notavailable","0.03","0.03","0.00",
