ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","90294","[89230.9-91369.7]","458.2","229.2","-",
"C50","Breast","20203","[19082.6-21389.1]","102.5","59.1","-",
"C33-34","Lung","10588","[10061.3-11142.3]","53.7","24.5","-",
"C18-21","Colorectum","10480","Notavailable","53.2","22.1","-",
"C54","Corpusuteri","7847","[7440.3-8275.9]","39.8","19.1","-",
"C56","Ovary","5077","[4757.3-5418.1]","25.8","14.7","-",
"C53","Cervixuteri","3220","[2994.2-3462.8]","16.3","9.4","-",
"C73","Thyroid","2968","[2514.3-3503.6]","15.1","10.5","-",
"C25","Pancreas","2864","[2620.0-3130.7]","14.5","5.6","-",
"C67","Bladder","2686","[2435.4-2962.4]","13.6","5.8","-",
"C64-65","Kidney","2562","[2355.5-2786.6]","13.0","6.3","-",
"C16","Stomach","2484","[2277.5-2709.2]","12.6","5.2","-",
"C82-86, C96","Non-Hodgkinlymphoma","1982","[1788.4-2196.6]","10.1","5.0","-",
"C43","Melanomaofskin","1927","[1734.5-2140.9]","9.8","4.7","-",
"C70-72","Brain,centralnervoussystem","1902","[1730.4-2090.6]","9.7","5.8","-",
"C91-95","Leukaemia","1852","[1678.1-2043.9]","9.4","5.3","-",
"C23-24","Gallbladder","1383","[1240.2-1542.2]","7.0","2.7","-",
"C00-06","Lip,oralcavity","1048","[874.5-1255.9]","5.3","2.3","-",
"C22","Liver","1028","[897.4-1177.6]","5.2","2.1","-",
"C88+C90","Multiplemyeloma","1013","[884.1-1160.7]","5.1","2.1","-",
"C51","Vulva","719","[603.0-857.3]","3.6","1.4","-",
"C09-10","Oropharynx","501","[370.1-678.2]","2.5","1.4","-",
"C32","Larynx","439","[344.9-558.8]","2.2","1.2","-",
"C15","Oesophagus","406","[316.1-521.5]","2.1","0.86","-",
"C81","Hodgkinlymphoma","286","[233.9-349.8]","1.5","1.2","-",
"C07-08","Salivaryglands","205","[150.7-278.9]","1.0","0.45","-",
"C45","Mesothelioma","122","[77.0-193.4]","0.62","0.28","-",
"C12-13","Hypopharynx","117","[65.2-210.1]","0.59","0.32","-",
"C11","Nasopharynx","107","[64.5-177.6]","0.54","0.25","-",
"C52","Vagina","100","[65.3-153.2]","0.51","0.21","-",
"C46","Kaposisarcoma","12","[7.0-20.5]","0.06","0.02","-",
