ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","1603","Notavailable","40.0","38.4","0.59",
"C62","Testis","620","Notavailable","15.5","15.2","0.23",
"C70-72","Brain,centralnervoussystem","174","Notavailable","4.3","4.2","0.06",
"C82-86, C96","Non-Hodgkinlymphoma","109","Notavailable","2.7","2.6","0.04",
"C43","Melanomaofskin","106","Notavailable","2.6","2.4","0.04",
"C81","Hodgkinlymphoma","88","Notavailable","2.2","2.2","0.03",
"C73","Thyroid","65","Notavailable","1.6","1.5","0.02",
"C18-21","Colorectum","63","Notavailable","1.6","1.4","0.02",
"C91-95","Leukaemia","57","Notavailable","1.4","1.4","0.02",
"C67","Bladder","35","Notavailable","0.87","0.74","0.01",
"C64-65","Kidney","28","Notavailable","0.70","0.60","0.01",
"C00-06","Lip,oralcavity","28","Notavailable","0.70","0.64","0.01",
"C22","Liver","17","Notavailable","0.42","0.40","0.01",
"C11","Nasopharynx","17","Notavailable","0.42","0.41","0.01",
"C33-34","Lung","16","Notavailable","0.40","0.35","0.01",
"C25","Pancreas","13","Notavailable","0.32","0.30","0.00",
"C16","Stomach","11","Notavailable","0.27","0.29","0.00",
"C88+C90","Multiplemyeloma","7","Notavailable","0.17","0.17","0.00",
"C09-10","Oropharynx","5","Notavailable","0.12","0.11","0.00",
"C32","Larynx","4","Notavailable","0.10","0.08","0.00",
"C15","Oesophagus","4","Notavailable","0.10","0.08","0.00",
"C12-13","Hypopharynx","4","Notavailable","0.10","0.09","0.00",
"C23-24","Gallbladder","4","Notavailable","0.10","0.09","0.00",
"C60","Penis","4","Notavailable","0.10","0.09","0.00",
"C07-08","Salivaryglands","3","Notavailable","0.07","0.08","0.00",
"C46","Kaposisarcoma","2","Notavailable","0.05","0.04","0.00",
"C45","Mesothelioma","1","Notavailable","0.02","0.03","0.00",
