ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","95336","[94166.2-96520.3]","518.1","292.5","-",
"C33-34","Lung","17995","[17433.6-18574.5]","97.8","52.7","-",
"C61","Prostate","15393","[14679.7-16140.9]","83.7","43.7","-",
"C18-21","Colorectum","14027","Notavailable","76.2","41.1","-",
"C67","Bladder","8197","[7788.0-8627.4]","44.5","23.7","-",
"C16","Stomach","4175","[3914.0-4453.5]","22.7","12.4","-",
"C64-65","Kidney","3765","[3517.5-4029.9]","20.5","11.9","-",
"C25","Pancreas","2922","[2672.4-3195.0]","15.9","8.8","-",
"C32","Larynx","2758","[2536.3-2999.1]","15.0","9.0","-",
"C70-72","Brain,centralnervoussystem","2381","[2166.8-2616.4]","12.9","8.9","-",
"C00-06","Lip,oralcavity","2380","[2141.8-2644.7]","12.9","7.8","-",
"C91-95","Leukaemia","2332","[2135.6-2546.4]","12.7","8.5","-",
"C82-86, C96","Non-Hodgkinlymphoma","1997","[1805.8-2208.4]","10.9","6.7","-",
"C43","Melanomaofskin","1796","[1608.3-2005.6]","9.8","5.9","-",
"C22","Liver","1541","[1364.3-1740.6]","8.4","4.7","-",
"C62","Testis","1417","[1258.4-1595.6]","7.7","7.0","-",
"C15","Oesophagus","1397","[1235.9-1579.1]","7.6","4.4","-",
"C09-10","Oropharynx","1243","[1064.7-1451.2]","6.8","4.3","-",
"C88+C90","Multiplemyeloma","1038","[894.8-1204.1]","5.6","3.1","-",
"C12-13","Hypopharynx","973","[786.0-1204.5]","5.3","3.3","-",
"C23-24","Gallbladder","832","[702.9-984.7]","4.5","2.4","-",
"C73","Thyroid","669","[511.9-874.3]","3.6","2.4","-",
"C60","Penis","395","[302.0-516.7]","2.1","1.2","-",
"C45","Mesothelioma","369","[257.9-528.0]","2.0","1.1","-",
"C81","Hodgkinlymphoma","294","[238.8-362.0]","1.6","1.5","-",
"C07-08","Salivaryglands","288","[218.6-379.4]","1.6","0.89","-",
"C11","Nasopharynx","179","[131.9-243.0]","0.97","0.61","-",
"C46","Kaposisarcoma","12","[6.7-21.5]","0.07","0.04","-",
