ICD,Cancer,5-year,Proportions***
"C00-97","Allcancers","239804","4117.3",
"C18-21","Colorectum","39098","671.3",
"C61","Prostate","37902","1589.9",
"C50","Breast","30605","889.6",
"C67","Bladder","19408","333.2",
"C33-34","Lung","16726","287.2",
"C54","Corpusuteri","15703","456.4",
"C64-65","Kidney","8058","138.4",
"C43","Melanomaofskin","5234","89.9",
"C16","Stomach","5213","89.5",
"C91-95","Leukaemia","5146","88.4",
"C82-86, C96","Non-Hodgkinlymphoma","5017","86.1",
"C56","Ovary","4851","141.0",
"C00-06","Lip,oralcavity","4593","78.9",
"C32","Larynx","4147","71.2",
"C70-72","Brain,centralnervoussystem","3959","68.0",
"C73","Thyroid","3229","55.4",
"C53","Cervixuteri","3008","87.4",
"C88+C90","Multiplemyeloma","2827","48.5",
"C25","Pancreas","1798","30.9",
"C09-10","Oropharynx","1767","30.3",
"C23-24","Gallbladder","1284","22.0",
"C51","Vulva","1227","35.7",
"C22","Liver","871","15.0",
"C15","Oesophagus","848","14.6",
"C60","Penis","707","29.7",
"C12-13","Hypopharynx","643","11.0",
"C07-08","Salivaryglands","585","10.0",
"C81","Hodgkinlymphoma","400","6.9",
"C11","Nasopharynx","318","5.5",
"C45","Mesothelioma","271","4.7",
"C62","Testis","179","7.5",
"C52","Vagina","138","4.0",
"C46","Kaposisarcoma","44","0.76",
