ICD,Cancer,5-year,Proportions***
"C00-97","Allcancers","490121","1286.2",
"C50","Breast","78371","397.7",
"C18-21","Colorectum","68430","179.6",
"C61","Prostate","52509","285.4",
"C67","Bladder","34087","89.5",
"C33-34","Lung","30436","79.9",
"C54","Corpusuteri","29124","147.8",
"C64-65","Kidney","16671","43.8",
"C56","Ovary","14495","73.6",
"C73","Thyroid","14008","36.8",
"C43","Melanomaofskin","12248","32.1",
"C70-72","Brain,centralnervoussystem","11948","31.4",
"C82-86, C96","Non-Hodgkinlymphoma","11616","30.5",
"C91-95","Leukaemia","11446","30.0",
"C00-06","Lip,oralcavity","10488","27.5",
"C32","Larynx","10036","26.3",
"C16","Stomach","9886","25.9",
"C53","Cervixuteri","9821","49.8",
"C62","Testis","6003","32.6",
"C09-10","Oropharynx","5912","15.5",
"C88+C90","Multiplemyeloma","5062","13.3",
"C25","Pancreas","3499","9.2",
"C81","Hodgkinlymphoma","2274","6.0",
"C23-24","Gallbladder","2245","5.9",
"C51","Vulva","2176","11.0",
"C12-13","Hypopharynx","1919","5.0",
"C15","Oesophagus","1909","5.0",
"C22","Liver","1813","4.8",
"C60","Penis","1280","7.0",
"C07-08","Salivaryglands","1270","3.3",
"C11","Nasopharynx","903","2.4",
"C45","Mesothelioma","547","1.4",
"C52","Vagina","280","1.4",
"C46","Kaposisarcoma","69","0.18",
