ICD,Cancer,5-year,Proportions***
"C00-97","Allcancers","123553","5182.8",
"C61","Prostate","37902","1589.9",
"C18-21","Colorectum","22273","934.3",
"C67","Bladder","15081","632.6",
"C33-34","Lung","9933","416.7",
"C64-65","Kidney","4527","189.9",
"C32","Larynx","3554","149.1",
"C16","Stomach","3201","134.3",
"C00-06","Lip,oralcavity","3005","126.1",
"C91-95","Leukaemia","2831","118.8",
"C43","Melanomaofskin","2312","97.0",
"C82-86, C96","Non-Hodgkinlymphoma","2243","94.1",
"C70-72","Brain,centralnervoussystem","1764","74.0",
"C88+C90","Multiplemyeloma","1316","55.2",
"C09-10","Oropharynx","1050","44.0",
"C25","Pancreas","853","35.8",
"C60","Penis","707","29.7",
"C15","Oesophagus","637","26.7",
"C73","Thyroid","628","26.3",
"C12-13","Hypopharynx","552","23.2",
"C23-24","Gallbladder","530","22.2",
"C22","Liver","513","21.5",
"C07-08","Salivaryglands","320","13.4",
"C11","Nasopharynx","216","9.1",
"C45","Mesothelioma","190","8.0",
"C62","Testis","179","7.5",
"C81","Hodgkinlymphoma","143","6.0",
"C46","Kaposisarcoma","19","0.80",
