ICD,Cancer,5-year,Proportions***
"C00-97","Allcancers","230826","1254.5",
"C61","Prostate","52509","285.4",
"C18-21","Colorectum","38379","208.6",
"C67","Bladder","26094","141.8",
"C33-34","Lung","17892","97.2",
"C64-65","Kidney","9727","52.9",
"C32","Larynx","8628","46.9",
"C00-06","Lip,oralcavity","7304","39.7",
"C91-95","Leukaemia","6465","35.1",
"C70-72","Brain,centralnervoussystem","6270","34.1",
"C16","Stomach","6090","33.1",
"C62","Testis","6003","32.6",
"C43","Melanomaofskin","5877","31.9",
"C82-86, C96","Non-Hodgkinlymphoma","5771","31.4",
"C09-10","Oropharynx","4074","22.1",
"C88+C90","Multiplemyeloma","2550","13.9",
"C73","Thyroid","2354","12.8",
"C25","Pancreas","1798","9.8",
"C12-13","Hypopharynx","1674","9.1",
"C15","Oesophagus","1484","8.1",
"C60","Penis","1280","7.0",
"C81","Hodgkinlymphoma","1167","6.3",
"C22","Liver","1106","6.0",
"C23-24","Gallbladder","930","5.1",
"C07-08","Salivaryglands","740","4.0",
"C11","Nasopharynx","554","3.0",
"C45","Mesothelioma","390","2.1",
"C46","Kaposisarcoma","35","0.19",
